"gene","HR","p","adj_p"
"FCRL2",1.25937524192241,0.0869327971177604,0.617406432869626
"PRDM5",0.799350985548699,0.0936865666452408,0.617406432869626
"TRPC1",1.20733159523754,0.0938712077848917,0.617406432869626
"FUOM",1.13626038610821,0.0949725608467201,0.617406432869626
"BEND6",1.37864596670867,0.0888162712874924,0.617406432869626
"SPOCK1",1.0973367887911,0.0876599658057615,0.617406432869626
"SLC6A1",1.45485518455651,0.0937466830784292,0.617406432869626
"LRRC2",0.862079897165846,0.0891320315528545,0.617406432869626
"RNF180",1.23215943380301,0.092945584963162,0.617406432869626
"MAP1A",1.14263468214554,0.09170569823574,0.617406432869626
"AR",1.23969499102503,0.0953719652876578,0.617406432869626
"DELEC1",0.662654017179766,0.0935895822691077,0.617406432869626
"NAP1L3",1.18148395406638,0.094363596577038,0.617406432869626
"C14orf132",1.16465894577137,0.0858270352231708,0.617406432869626
"HDAC2-AS2",0.547455676048656,0.0956866058321929,0.617406432869626
"CCDC144NL-AS1",1.4690048169734,0.0952097659522526,0.617406432869626
"RNF5P1",1.1220855520455,0.0936443420708006,0.617406432869626
"AC007406.3",0.760492837726061,0.0903635884478827,0.617406432869626
"NRXN3",1.15313480406788,0.100337921412341,0.62287958043171
"PTGER3",1.18557768906453,0.100412392680304,0.62287958043171
"BST2",1.08920194037834,0.0986587805117396,0.62287958043171
"AKAP12",1.09276987375522,0.0989864418406613,0.62287958043171
"ADAMTS18",1.40945551374871,0.101131739996292,0.62287958043171
"FCRLB",1.24440128473252,0.0994408744216276,0.62287958043171
"C1orf105",1.221532544234,0.0973819677573597,0.62287958043171
"CFD",1.07541326300362,0.0998622384629554,0.62287958043171
"IGLV8-61",0.95021817841563,0.0991716630481641,0.62287958043171
"PCDHGB7",1.19281808504638,0.101054583637121,0.62287958043171
"SHOX2",1.27129076770539,0.102855362603263,0.63057021132309
"ATP10A",1.25849285821442,0.103311134253672,0.63057021132309
"BGN",1.09137084887626,0.10405073998692,0.632236559113347
"REG4",0.960913733805555,0.105001076019489,0.634251713749756
"CASP1",0.898176043602078,0.107237896430789,0.634251713749756
"CCN1",1.10403230102241,0.107254171639942,0.634251713749756
"PDLIM3",1.1157237388155,0.107240213552081,0.634251713749756
"LRRTM1",1.17847030184023,0.112298622576567,0.634251713749756
"LARP6",1.16719998888232,0.112142471795207,0.634251713749756
"ZNF667-AS1",1.43332988455139,0.113690836355357,0.634251713749756
"MIR31HG",1.17626696051944,0.109713719438655,0.634251713749756
"MSRB3",1.10174659847265,0.108335841968021,0.634251713749756
"FIGN",1.39875812622887,0.112760116860566,0.634251713749756
"FBXL7",1.16103078678334,0.112978896454166,0.634251713749756
"KCNQ3",1.34357610669186,0.108647128682499,0.634251713749756
"MFAP5",1.08621536150265,0.108869875365754,0.634251713749756
"IGLV7-43",0.945372115714927,0.111816805912032,0.634251713749756
"C19orf38",1.1509281714114,0.112367526363537,0.634251713749756
"AC108463.1",0.849979009212629,0.109880082523259,0.634251713749756
"IGKV2D-29",0.939335282891952,0.10840000454242,0.634251713749756
"APOBEC3D",1.56248675723793,0.107331029593731,0.634251713749756
"AC019257.1",0.746831223399239,0.113744034273941,0.634251713749756
"AC092535.5",1.13964429400967,0.113173148024357,0.634251713749756
"ENPEP",1.16149101037477,0.114749130968587,0.637233903534571
